session,ios,cfa_csv,cfa_atsc,iri_cognitive_empathy,iri_emotional_empathy,trust_after,trust_before,trust_delta,chooseTogetherCount,mean_rt,std_rt,lead_score,normCC_score,follow_score
13112022_1530_B,0.656,3.0,3.916666667,2.5,2.142857143,6.13,6.07,0.06,5,13.7527692,22.40616278,0.3333333333333333,0.2514179643435308,0.3685897435897436
13112022_1530_A,0.124,3.285714286,4.0,3.357142857,3.285714286,6.68,4.21,2.47,5,17.20242589,38.72672259,0.3685897435897436,0.2781846728820647,0.3333333333333333
20112022_1545_B,0.046,2.571428571,2.916666667,3.909090909,3.166666667,9.0,9.0,0.0,2,3.815318562,2.044911887,0.3990384615384615,0.3661300090449809,0.4134615384615384
23112022_0830_B,0.147368421,2.142857143,3.333333333,2.571428571,2.428571429,7.91,8.08,-0.17,7,3.247952225,1.166659544,0.4134615384615384,0.3170511971708236,0.4230769230769231
23112022_0830_A,0.474,3.142857143,2.916666667,3.642857143,2.5,9.0,9.0,0.0,7,3.020816125,1.467801393,0.4230769230769231,0.3348704687632175,0.4134615384615384
27112022_1550_B,0.512280702,1.285714286,2.75,2.285714286,2.071428571,7.99,7.47,0.52,5,4.125964113,1.347688954,0.4086538461538461,0.367592516742814,0.3942307692307692
27112022_1550_A,0.098245614,2.714285714,3.75,2.5,2.714285714,7.95,6.77,1.18,5,3.417177725,1.315603599,0.3942307692307692,0.3626585194771681,0.4086538461538461
29112022_1630_A,1.0,3.285714286,2.75,2.928571429,2.642857143,7.78,5.22,2.56,5,2.97598635,0.933902091,0.3621794871794871,0.2147626250066425,0.3349358974358974
29112022_1630_B,0.628070175,3.285714286,3.416666667,3.666666667,3.9,7.12,5.98,1.14,5,4.111743013,1.679931787,0.3349358974358974,0.2070653593256187,0.3621794871794871
30112022_0830_A,0.226,2.428571429,3.583333333,2.571428571,2.357142857,9.0,9.0,0.0,4,5.245647075,4.731318943,0.421474358974359,0.3560830226042892,0.4262820512820512
30112022_0830_B,0.89122807,5.142857143,4.166666667,3.5,3.666666667,4.99,3.53,1.46,4,5.495806713,2.070962354,0.4262820512820512,0.3518816349744036,0.421474358974359
04122022_1545_B,0.242105263,2.142857143,4.333333333,3.0,3.5,8.1,4.71,3.39,7,4.936977125,0.873054164,0.4054487179487179,0.3422868834546833,0.3862179487179487
04122022_1545_A,1.0,4.142857143,3.583333333,4.083333333,4.222222222,9.0,8.08,0.92,7,3.31325445,2.114833268,0.3862179487179487,0.3185869304189301,0.4054487179487179
06122022_1215_A,0.574,2.428571429,3.916666667,3.285714286,3.214285714,7.11,4.92,2.19,5,4.186175537,1.191939279,0.3493589743589743,0.2730939904420518,0.3477564102564102
06122022_1215_B,0.529824561,3.857142857,3.416666667,3.076923077,3.777777778,9.0,9.0,0.0,5,5.329429837,0.72993148,0.3477564102564102,0.2649571926751425,0.3493589743589743
06122022_1415_B,1.0,2.857142857,3.0,2.928571429,2.428571429,8.13,6.83,1.3,6,4.343428688,1.558541714,0.3814102564102564,0.2570272592570615,0.375
06122022_1415_A,0.092,4.0,4.083333333,4.0,3.071428571,9.0,9.0,0.0,6,3.338192137,1.957496119,0.375,0.2685226882384635,0.3814102564102564
07122022_1030_A,0.322,1.571428571,2.666666667,3.0,3.090909091,8.03,8.01,0.02,4,5.188743537,2.083675643,0.3846153846153846,0.344576816765564,0.4262820512820512
07122022_1030_B,0.463157895,2.714285714,4.166666667,4.181818182,3.615384615,3.87,7.05,-3.18,4,5.143216725,1.215763017,0.4262820512820512,0.3846443338372613,0.3846153846153846
07122022_1230_A,0.070175439,2.0,3.583333333,3.214285714,3.071428571,9.0,9.0,0.0,4,4.839524875,1.743347164,0.3830128205128205,0.3182871968403033,0.3365384615384615
